fighter_1,fighter_2,bookmaker,type,point,price,fetched_at,commence_time
Shara Magomedov,Michel Pereira,PMU (FR),Under,2.5,2.07,2026-06-27,2026-06-27
Jordan Vucenic,Nonato Junior,BetOnline.ag,Over,1.5,5.75,2026-06-27,2026-06-27
Jordan Vucenic,Nonato Junior,BetOnline.ag,Under,1.5,1.15,2026-06-27,2026-06-27
Tariq Pell,Luan Duarte,BetOnline.ag,Over,1.5,1.59,2026-06-27,2026-06-27
Tariq Pell,Luan Duarte,BetOnline.ag,Under,1.5,2.49,2026-06-27,2026-06-27
Rafael Fiziev,Manuel Torres,1xBet,Over,1.5,1.69,2026-06-27,2026-06-27
Rafael Fiziev,Manuel Torres,1xBet,Under,1.5,2.1,2026-06-27,2026-06-27
Rafael Fiziev,Manuel Torres,BetOnline.ag,Over,1.5,1.87,2026-06-27,2026-06-27
Rafael Fiziev,Manuel Torres,BetOnline.ag,Under,1.5,1.95,2026-06-27,2026-06-27
Rafael Fiziev,Manuel Torres,Pinnacle,Over,1.5,1.89,2026-06-27,2026-06-27
Rafael Fiziev,Manuel Torres,Pinnacle,Under,1.5,1.96,2026-06-27,2026-06-27
Rafael Fiziev,Manuel Torres,Coolbet,Over,1.5,1.86,2026-06-27,2026-06-27
Rafael Fiziev,Manuel Torres,Coolbet,Under,1.5,2.0,2026-06-27,2026-06-27
Rafael Fiziev,Manuel Torres,BetAnything,Over,1.5,1.87,2026-06-27,2026-06-27
Rafael Fiziev,Manuel Torres,BetAnything,Under,1.5,1.87,2026-06-27,2026-06-27
Rafael Fiziev,Manuel Torres,PMU (FR),Over,1.5,1.78,2026-06-27,2026-06-27
Rafael Fiziev,Manuel Torres,PMU (FR),Under,1.5,1.97,2026-06-27,2026-06-27
Ollie Sarwa,Pietro Mochetti,BetOnline.ag,Over,1.5,2.05,2026-06-27,2026-06-27
Ollie Sarwa,Pietro Mochetti,BetOnline.ag,Under,1.5,1.8,2026-06-27,2026-06-27
Nik Bagley,Aiden Lee,BetOnline.ag,Over,1.5,1.62,2026-06-27,2026-06-27
Nik Bagley,Aiden Lee,BetOnline.ag,Under,1.5,2.4,2026-06-27,2026-06-27
Cobey Fehr,Daniel Bzdigian,BetOnline.ag,Over,1.5,2.5,2026-06-27,2026-06-27
Cobey Fehr,Daniel Bzdigian,BetOnline.ag,Under,1.5,1.56,2026-06-27,2026-06-27
Shannon Clark,Ilara Joanne,BetOnline.ag,Over,2.5,1.54,2026-06-27,2026-06-27
Shannon Clark,Ilara Joanne,BetOnline.ag,Under,2.5,2.61,2026-06-27,2026-06-27
